Timestamp	Compilation Time	Code Cache Size	Perm Gen Size	Invocations/s
1376436370234	65365	19021696	427362672	154.55
1376436371235	65365	19021696	427721712	156.86
1376436372235	65365	19021696	428082928	153.95
1376436373236	65365	19021696	428437616	158.66
1376436374243	65365	19021696	428840176	156.95
1376436375244	65365	19021696	429212272	160.48
1376436376245	65365	19021696	429571312	156.53
1376436377246	65365	19021696	429982576	161.19
1376436378246	65365	19021696	430287216	158.75
1376436379247	65365	19021696	430650608	157.70
1376436380248	65365	19021696	431050992	160.07
1376436381248	65365	19021696	431399152	158.54
1376436382249	65365	19021696	431814768	162.60
1376436383249	65365	19021696	432112880	155.87
1376436384250	65365	19021696	432480624	158.70
1376436385250	65365	19021696	432857072	156.15
1376436386251	65365	19021696	433207408	156.44
1376436387252	65365	19021696	433581680	161.21
1376436388252	65365	19021696	433940720	158.91
1376436389253	65365	19021696	434330224	161.04
1376436390253	65365	19021696	434684912	157.70
1376436391254	65365	19021696	435037424	158.62
1376436392254	65365	19021696	435459568	162.12
1376436393255	65365	19021696	435796848	157.93
1376436394256	65365	19021696	436145008	161.53
1376436395256	65365	19021696	436501872	161.28
1376436396257	65365	19021696	436913136	160.50
1376436397257	65365	19021696	437214600	158.98
1376436398258	65365	19021696	437600752	156.48
1376436399258	65365	19021696	437927152	153.35
1376436400259	65365	19021696	438294896	154.99
1376436401260	65365	19021696	438710512	159.47
1376436402261	65365	19021696	439034736	159.94
1376436403261	65365	19021696	439387248	157.98
1376436404262	65365	19021696	439724528	154.78
1376436405263	65365	19021696	440070512	156.92
1376436406264	65365	19021696	440452536	158.49
1376436407264	65365	19021696	440825584	156.19
1376436408265	65365	19021696	441193328	156.25
1376436409266	65365	19021696	441571952	157.45
1376436410266	65365	19021696	441939696	158.11
1376436411267	65365	19021696	442270448	156.94
1376436412267	65365	19021696	442668656	159.69
1376436413268	65365	19021696	442975472	153.88
1376436414268	65365	19021696	443315352	153.58
1376436415269	65365	19021696	443704432	155.25
1376436416269	65365	19021696	444078704	156.25
1376436417270	65365	19021696	444426864	158.16
1376436418270	65365	19021696	444807664	157.32
1376436419271	65365	19021696	445149296	160.33
1376436420271	65365	19021696	445527920	157.57
1376436421271	65365	19021696	445880432	157.76
1376436422272	65365	19021696	446219344	157.96
1376436423272	65365	19021696	446598992	156.34
1376436424273	65365	19021696	446992848	161.76
1376436425273	65365	19021696	447340880	161.32
1376436426274	65365	19021696	447680464	160.24
1376436427274	65365	19021696	448099984	159.61
1376436428275	65365	19021696	448420304	157.73
1376436429276	65365	19021696	448761936	156.44
1376436430276	65365	19021696	449131856	155.30
1376436431277	65365	19021696	449497424	156.60
1376436432278	65365	19021696	449889104	158.99
1376436433278	65365	19021696	450222032	157.51
1376436434279	65365	19021696	450578896	159.44
1376436435279	65365	19021696	451001040	160.97
1376436436280	65365	19021696	451362256	160.37
1376436437280	65365	19021696	451706160	160.94
1376436438281	65365	19021696	452071632	157.49
1376436439281	65365	19021696	452428496	159.26
1376436440282	65365	19021696	452767952	157.22
1376436441283	65365	19021696	453140048	155.72
1376436442284	65365	19021696	453523024	158.25
1376436443284	65365	19021696	453879888	157.53
1376436444285	65365	19021696	454236752	156.77
1376436445286	65365	19021696	454584672	159.36
1376436446286	65365	19021696	454954832	158.09
1376436447287	65365	19021696	455277560	157.67
1376436448287	65365	19021696	455640272	156.39
1376436449288	65365	19021696	455999312	153.71
1376436450289	65365	19021696	456366544	158.02
1376436451289	65365	19021696	456710864	155.35
1376436452290	65365	19021696	457045968	156.93
1376436453290	65365	19021696	457431120	158.28
1376436454292	65365	19021696	457781456	158.37
1376436455292	65365	19021696	458136144	159.45
1376436456293	65365	19021696	458497360	155.23
1376436457293	65365	19021696	458879168	159.42
1376436458294	65365	19021696	459269840	159.24
1376436459294	65365	19021696	459637584	159.45
1376436460295	65365	19021696	459970512	157.39
1376436461295	65365	19021696	460301392	157.28
1376436462296	65365	19021696	460669008	158.27
1376436463296	65365	19021696	461043280	157.38
1376436464297	65365	19021696	461387088	155.02
1376436465298	65365	19021696	461739600	158.39
1376436466298	65365	19021696	462111696	156.91
1376436467299	65365	19021696	462470736	158.23
1376436468299	65365	19021696	462821072	157.36
1376436469300	65365	19021696	463171408	154.88
1376436470300	65365	19021696	463499984	155.59
1376436471301	65365	19021696	463843792	154.72
1376436472301	65365	19021696	464211536	152.11
1376436473302	65365	19021696	464574928	154.19
1376436474302	65365	19021696	464920912	154.38
1376436475303	65365	19021696	465273176	156.55
1376436476303	65365	19021696	465641168	155.93
1376436477304	65365	19021696	465991504	157.88
1376436478304	65365	19021696	466352720	156.13
1376436479306	65365	19021696	466729168	156.64
1376436480307	65365	19021696	467044688	153.13
1376436481308	65365	19021696	467386320	155.75
1376436482308	65365	19021696	467705040	154.13
1376436483309	65365	19021696	468113104	154.24
1376436484310	65365	19021696	468497968	157.66
1376436485311	65365	19021696	468815952	154.13
1376436486311	65365	19021696	469209808	158.64
1376436487313	65365	19021696	469577552	157.70
1376436488314	65365	19021696	469914832	159.23
1376436489314	65365	19021696	470265168	156.53
1376436490315	65365	19021696	470613328	155.95
1376436491315	65365	19021696	470965840	154.33
1376436492316	65365	19021696	471309648	154.51
1376436493316	65365	19021696	471625168	152.63
1376436494317	65365	19021696	472031192	157.90
1376436495317	65365	19021696	472378064	157.27
1376436496318	65365	19021696	472774096	162.13
1376436497319	65365	19021696	473148368	159.57
1376436498319	65365	19021696	473505232	159.31
1376436499321	65365	19021696	473846864	156.06
1376436500322	65365	19021696	474212432	159.48
1376436501322	65365	19021696	474593232	159.78
1376436502323	65365	19021696	474969680	160.76
1376436503323	65365	19021696	475322032	159.80
1376436504325	65365	19021696	475676880	158.32
1376436505325	65365	19021696	476005456	155.25
1376436506326	65365	19021696	476353616	155.21
1376436507326	65365	19021696	476695248	157.98
1376436508327	65365	19021696	477034704	157.28
1376436509327	65365	19021696	477445968	158.46
1376436510328	65365	19021696	477781072	159.29
1376436511328	65365	19021696	478140112	156.88
1376436512329	65365	19021696	478538320	159.40
1376436513329	65365	19021696	478849488	157.14
1376436514330	65365	19021696	479208528	157.76
1376436515331	65365	19021696	479554512	157.45
1376436516332	65365	19021696	479921456	161.12
1376436517332	65365	19021696	480276944	157.23
1376436518333	65365	19021696	480640336	158.40
1376436519334	65365	19021696	480995024	155.77
1376436520335	65365	19021696	481358416	157.50
1376436521335	65365	19021696	481747992	162.38
1376436522335	65365	19021696	482069968	158.10
1376436523336	65365	19021696	482470352	159.40
1376436524336	65365	19021696	482820688	160.17
1376436525337	65365	19021696	483188432	159.19
1376436526341	65365	19021696	483573584	160.89
1376436527342	65365	19021696	483947856	161.83
1376436528342	65365	19021696	484324304	164.75
1376436529343	65365	19021696	484683344	161.00
1376436530344	65365	19021696	485018448	163.32
1376436531344	65365	19021696	485366608	158.13
1376436532344	65365	19021696	485745232	160.39
1376436533345	65365	19021696	486104272	161.22
1376436534345	65365	19021696	486417616	158.62
1376436535346	65365	19021696	486813648	161.35
1376436536346	65365	19021696	487137872	160.77
1376436537347	65365	19021696	487527376	159.00
1376436538347	65365	19021696	487862480	158.70
1376436539348	65365	19021696	488258512	158.99
1376436540348	65365	19021696	488587088	160.62
1376436541350	65365	19021696	488939600	157.24
1376436542350	65365	19021696	489300816	157.57
1376436543351	65365	19021696	489683792	158.08
1376436544351	65365	19021696	490038480	157.80
1376436545352	65365	19021696	490406224	159.06
1376436546352	65365	19021696	490706512	154.08
1376436547359	65365	19021696	491111248	157.47
1376436548360	65365	19021696	491457232	159.47
1376436549360	65365	19021696	491820624	159.45
1376436550361	65365	19021696	492164432	157.75
1376436551361	65365	19021696	492504832	159.19
1376436552362	65365	19021696	492891216	159.09
1376436553362	65365	19021696	493237200	158.21
1376436554363	65365	19021696	493602768	157.72
1376436555364	65365	19021696	493983568	160.37
1376436556365	65365	19021696	494346960	159.80
1376436557365	65365	19021696	494671184	159.99
1376436558365	65365	19021696	495056336	159.24
1376436559366	65365	19021696	495384912	158.33
1376436560367	65365	19021696	495741776	156.52
1376436561367	65365	19021696	496089936	158.96
1376436562368	65365	19021696	496477264	160.34
1376436563368	65365	19021696	496813448	157.92
1376436564369	65365	19021696	497177408	160.23
1376436565370	65365	19021696	497549712	162.11
1376436566370	65365	19021696	497928656	161.86
1376436567371	65365	19021696	498263760	160.66
1376436568372	65365	19021696	498624976	163.89
1376436569372	65365	19021696	499042768	165.05
1376436570373	65365	19021696	499401808	163.98
1376436571373	65365	19021696	499726032	162.98
1376436572374	65365	19021696	500091600	162.93
1376436573375	65365	19021696	500448464	159.05
1376436574375	65365	19021696	500853200	162.81
1376436575376	65365	19021696	501186128	163.44
1376436576376	65365	19021696	501516880	162.57
